part_id,clip_id,caption
100,SYMIR,"the person is coming indoors then removing a sweater and hanging it on a doorknob, then removing shoes then taking back the sweater and exiting the room"
209,QIQXR,Person putting on pink tennis shoes before vacuuming the rug around the room and under the table.
362,OA9W5,The person is sitting in a closet eating a sandwich and reading a book.
794,SAK7K,"A person is vacuuming a room, they then turn off the television and take a drink of coffee.;A person vacuums the floor before turning the TV off an drinking a cup of coffee."
2337,QCIV0,A person is sitting in a chair next to a staircase eating. The then put their coat on and turn on a light.
2757,OQSPB,person sat a laptop and some dishes on stairs dusting stairs
3399,QQTQN,A person is sitting on the stairs looking at something while eating a sandwich.
3521,SF9P7,A person is scrubbing their bathroom. They wash the sink handles. They toss the sponge against a wall.
4016,QHU9R,The person is holding a towel while making a video call on their phone.
6623,LX54K,A man is falling asleep on a set of stairs and then holds his food.
6984,P6S89,A person is cleaning a mirror then taking some medicine before walking out the doorway.
7827,UILMZ,"The person picked up the pillow and hugged it,then picked up a blanket and wrapped it around them."
